Guide	Gene	ctrl_1	ctrl_2	ctrl_3	test_1	test_2	test_3
ZNF837_-_58891991.23-P1P2_h5_Top5	ZNF837	1213	1638	1230	1141	895	408
RBM22_-_150080593.23-P1P2_h5_Top5	RBM22	26	25	47	12	51	10
ZBTB46_+_62462503.23-P1P2_h5_Top5	ZBTB46	173	327	164	134	159	20
LBX2_+_74730425.23-P1P2_h5_Top5	LBX2	4142	6094	3265	2870	3874	964
APITD1_-_10491255.23-P1P2_h5_Top5	APITD1	691	927	487	413	734	133
SNAPC1_-_62229166.23-P1P2_h5_Top5	SNAPC1	43	58	34	31	59	17
MED12_+_70338519.23-P1P2_h5_Supp5	MED12	123	138	51	46	96	12
ZNF283_-_44331548.23-P1P2_h5_Top5	ZNF283	1042	2080	1131	830	1181	281
ZNF100_-_21950100.23-P1P2_h5_Top5	ZNF100	1191	2149	1060	983	1688	400
KHDRBS3_-_136469740.23-P1P2_h5_Top5	KHDRBS3	2138	2635	1593	1182	2159	453
HIST1H2BD_+_26158770.23-P1P2_h5_Top5	HIST1H2BD	1095	1872	895	740	960	291
PRRX2_-_132428372.23-P1P2_h5_Top5	PRRX2	2748	4490	2169	1925	3069	801
MCMDC2_+_67783019.23-P1P2_h5_Top5	MCMDC2	2944	3770	1961	1914	2454	655
CSTF1_+_54967503.23-P1P2_h5_Top5	CSTF1	43	140	70	51	106	15
LRCH4_+_100183739.23-P1_h5_Top5	LRCH4	1213	1885	1044	917	1166	310
MED11_+_4635185.23-P1P2_h5_Top5	MED11	293	367	207	122	310	59
FOXJ1_-_74136873.23-P1P2_h5_Top5	FOXJ1	1586	2013	1123	1009	1395	316
NKX2-8_+_37051356.23-P1P2_h5_Top5	NKX2-8	4068	5345	2842	2545	3634	779
GTF2A1L_-_48845034.23-P1P2_h5_Top5	GTF2A1L	1906	3071	1911	1240	2215	527
TIGD5_-_144680085.23-P1P2_h5_Top5	TIGD5	3662	4445	3227	2346	3267	998
ZNF780A_-_40596745.23-P1P2_h5_Top5	ZNF780A	1370	2028	1123	974	1357	404
LEPREL4_+_39967768.23-P1P2_h5_Top5	LEPREL4	2496	3479	2107	1660	2336	575
ZFP41_+_144329170.23-P1P2_h5_Top5	ZFP41	1664	2159	1555	1115	1621	473
LARP1B_+_128982490.23-P1P2_h5_Top5	LARP1B	467	760	491	327	461	136
CST2_+_23807351.23-P1P2_h5_Top5	CST2	1403	1668	1021	901	1211	296
HMGN2_+_26799428.23-P1P2_h5_Top5	HMGN2	179	359	173	154	170	67
NOC2L_+_894605.23-P1P2_h5_Top5	NOC2L	410	470	232	201	357	62
EVI2B_+_29640995.23-P1P2_h5_Top5	EVI2B	1657	1766	1270	1009	1554	424
GAR1_-_110736887.23-P1P2_h5_Top5	GAR1	126	115	39	74	69	52
PTOV1_-_50354470.23-P1P2_h5_Top5	PTOV1	964	1352	641	554	1025	190
TRIP13_-_893026.23-P1P2_h5_Top5	TRIP13	181	439	194	155	293	90
PLXNB1_+_48470743.23-P1P2_h5_Top5	PLXNB1	2149	2588	1679	1563	1739	549
METTL24_-_110679114.23-P1P2_h5_Top5	METTL24	1404	1978	1384	1147	1316	308
POLR2J2_+_102312146.23-P1P2_h5_Top5	POLR2J2	1641	2074	1171	913	1496	361
ZBTB1_+_64971892.23-P1P2_h5_Top5	ZBTB1	885	1252	534	597	780	187
FOXB1_+_60296467.23-P1P2_h5_Top5	FOXB1	1547	2126	1117	1403	1407	313
ZC3H4_-_47615449.23-P1_h5_Top5	ZC3H4	136	134	37	51	114	14
ZBTB41_-_197169898.23-P1P2_h5_Top5	ZBTB41	1096	1768	912	884	1140	217
TBX15_-_119530123.23-P1P2_h5_Top5	TBX15	1150	1695	1066	703	1142	296
LARP4_-_50795004.23-P1P2_h5_Top5	LARP4	984	1593	866	797	1209	262
PKHD1_+_51952394.23-P1P2_h5_Top5	PKHD1	592	963	527	355	590	171
CIRBP_-_1269364.23-P1P2_h5_Top5	CIRBP	1321	1715	998	938	1205	259
ZNF285_+_44905756.23-ENST00000330997.4,ENST00000544719.2_h5_Top5	ZNF285	1203	1026	843	996	865	206
ZNF281_+_200378780.23-P1P2_h5_Supp5	ZNF281	0	1	0	0	0	0
HOXA5_+_27182846.23-P1P2_h5_Top5	HOXA5	703	1053	692	444	732	205
TNIP1_+_150460535.23-P1_h5_Top5	TNIP1	1619	1972	1046	973	1167	244
NAA16_+_41885448.23-P1P2_h5_Top5	NAA16	3010	4091	2681	1872	3136	805
SORBS2_+_186696226.23-P2_h5_Top5	SORBS2	854	1350	664	399	921	235
ASCL4_+_108168471.23-ENST00000342331.4_h5_Top5	ASCL4	1699	2010	1427	1005	1308	364
ZNF852_+_44552043.23-P1P2_h5_Top5	ZNF852	1103	1552	1243	923	1306	378
RAVER2_-_65211124.23-P1P2_h5_Top5	RAVER2	785	1395	788	696	850	253
KIF13A_-_17987856.23-P1P2_h5_Top5	KIF13A	4852	6981	3888	3052	4688	1190
BNC2_+_16870401.23-P1P2_h5_Top5	BNC2	1390	2329	1133	911	1267	347
SLC22A3_-_160769417.23-P1P2_h5_Top5	SLC22A3	275	384	163	169	285	38
EGR2_-_64575614.23-P1P2_h5_Top5	EGR2	1885	2712	1745	1496	1975	436
MED24_+_38210621.23-P1P2_h5_Top5	MED24	1036	1551	944	452	865	150
SUV420H1_+_67981028.23-P1P2_h5_Top5	SUV420H1	994	1042	608	396	639	135
KLF8_+_56258912.23-P1P2_h5_Top5	KLF8	698	776	427	578	592	143
POU2F3_-_120110964.23-P2_h5_Top5	POU2F3	1211	1790	1204	917	1182	337
HOPX_+_57521762.23-P2_h5_Top5	HOPX	1600	2267	1258	1145	1728	396
SIX2_-_45236236.23-P1P2_h5_Top5	SIX2	2728	3835	2090	2130	3027	697
non-targeting_01171_h5_Top5	non-targeting	553	833	334	306	556	101
ZNF483_+_114287953.23-P1P2_h5_Top5	ZNF483	1566	2316	955	1072	1549	324
ZNF626_-_20844354.23-P1P2_h5_Top5	ZNF626	883	898	694	597	814	204
HDAC11_-_13522164.23-P1P2_h5_Top5	HDAC11	3152	5036	2601	2654	3495	897
ZNF711_+_84499057.23-P1P2_h5_Top5	ZNF711	1324	1660	791	875	1185	237
HIF3A_+_46800715.23-P2_h5_Top5	HIF3A	1388	1803	1081	773	1332	364
ARL6IP4_-_123465699.23-P1P2_h5_Top5	ARL6IP4	3476	4529	2689	2169	2760	774
non-targeting_01173_h5_Top5	non-targeting	874	942	283	641	727	126
PRR3_-_30525496.23-P1P2_h5_Top5	PRR3	2672	3549	1889	1910	2294	569
ZBED4_+_50247917.23-P1P2_h5_Top5	ZBED4	2820	4202	2261	2028	2741	701
ZNF212_+_148936978.23-P1P2_h5_Top5	ZNF212	1772	2517	1273	1015	1754	416
CEP104_+_3773746.23-P1P2_h5_Top5	CEP104	642	939	676	358	816	180
DLX6_-_96635236.23-P1P2_h5_Top5	DLX6	5228	6876	4176	3669	4776	1155
ATMIN_+_81069661.23-P1P2_h5_Top5	ATMIN	2725	3529	1890	2064	2345	541
NOP56_-_2633715.23-P1P2_h5_Top5	NOP56	602	912	389	412	511	154
TMEM189_+_48770167.23-P1P2_h5_Top5	TMEM189	2035	3553	2126	1902	2706	668
MBD1_+_47807869.23-P1P2_h5_Top5	MBD1	928	1485	671	556	1124	242
HOPX_-_57521797.23-P2_h5_Top5	HOPX	3599	4235	2444	1966	2523	593
PRM3_-_11367453.23-P1P2_h5_Top5	PRM3	2231	3088	1713	1276	1916	597
TFAP2E_+_36038986.23-P1P2_h5_Top5	TFAP2E	2244	2943	1591	1440	1824	563
ANKRA2_+_72861375.23-P1P2_h5_Top5	ANKRA2	285	361	254	167	312	62
SOX12_-_306959.23-P1P2_h5_Top5	SOX12	1833	2648	1456	1299	1903	564
ZBTB18_-_244214605.23-P1P2_h5_Top5	ZBTB18	2526	3514	1969	1829	1932	701
GLYR1_+_4897240.23-P1P2_h5_Top5	GLYR1	3480	5533	3209	1994	2900	768
C17orf49_-_6918164.23-P2_h5_Top5	C17orf49	2661	4084	2008	1946	2510	706
SAMD4B_+_39833459.23-P1P2_h5_Top5	SAMD4B	1462	2123	980	782	1332	215
HNRNPM_-_8536287.23-P2_h5_Top5	HNRNPM	1002	1542	1043	741	1062	314
ALX1_-_85674403.23-P1P2_h5_Top5	ALX1	898	951	641	445	684	171
TCEB3B_+_44561939.23-P1P2_h5_Top5	TCEB3B	1148	1718	994	815	1004	349
SOWAHD_-_118892602.23-P1P2_h5_Top5	SOWAHD	1897	2888	1680	1586	1913	520
ARX_-_25030744.23-P2_h5_Top5	ARX	744	1178	665	571	876	215
KRBA2_-_8279590.23-P1P2_h5_Top5	KRBA2	2975	4345	2307	1860	2698	607
CITED1_-_71526957.23-P2_h5_Top5	CITED1	1043	1241	595	572	1001	211
NR2E3_-_72103322.23-P1P2_h5_Top5	NR2E3	2998	5022	2370	2142	3257	724
NOTO_+_73429701.23-P1P2_h5_Top5	NOTO	1771	2396	1368	1110	1460	446
SKIV2L_+_31927273.23-P1P2_h5_Top5	SKIV2L	552	900	548	363	547	174
TANC1_+_159825534.23-P1P2_h5_Top5	TANC1	630	1143	447	407	441	98
NLE1_+_33469271.23-P1P2_h5_Top5	NLE1	1716	2390	1436	1273	2140	478
FAM153A_+_177209348.23-ENST00000393518.3_h5_Top5	FAM153A	699	832	564	413	568	170
ZNF491_+_11909417.23-P1P2_h5_Top5	ZNF491	2329	3189	1988	1657	2343	552
ZNF804B_-_88389043.23-P1P2_h5_Top5	ZNF804B	1537	1932	812	965	1347	345
ZNF440_-_11925129.23-P1P2_h5_Top5	ZNF440	2740	4479	2612	2083	2821	824
ZNF175_+_52074974.23-P1P2_h5_Top5	ZNF175	3554	4250	2328	2268	2698	772
ZC3H18_+_88636857.23-P1P2_h5_Top5	ZC3H18	215	82	91	127	152	42
NCBP1_+_100396082.23-P1P2_h5_Top5	NCBP1	2721	3729	1945	1707	2568	519
NSUN6_+_18940532.23-P1P2_h5_Top5	NSUN6	1395	1359	878	876	1071	268
MED13_-_60142558.23-P1P2_h5_Top5	MED13	4060	5017	3039	1809	2728	578
DMRTC1B_+_71996707.23-P1P2_h5_Top5	DMRTC1B	463	763	534	386	387	140
ZNF84_-_133614119.23-P1P2_h5_Top5	ZNF84	527	733	464	275	674	147
TRIM16_-_15587563.23-P1P2_h5_Top5	TRIM16	815	816	483	390	631	136
LMO3_+_16761010.23-P2_h5_Top5	LMO3	649	960	513	403	561	124
PHF21B_-_45405443.23-P1_h5_Top5	PHF21B	1720	1954	1363	828	1389	393
ZBTB49_-_4292051.23-P1P2_h5_Top5	ZBTB49	2648	3319	2111	1736	2630	584
ZNF444_-_56652835.23-P1P2_h5_Top5	ZNF444	862	820	419	639	710	217
HOMEZ_+_23755273.23-P1P2_h5_Top5	HOMEZ	1787	1952	1564	1261	1674	497
PIR_-_15511381.23-P1P2_h5_Top5	PIR	1457	2014	1157	1270	1399	391
ZNF430_-_21203475.23-P1P2_h5_Top5	ZNF430	1897	2773	1368	1328	1636	368
HIST1H3J_+_27858516.23-ENST00000359303.2_h5_Top5	HIST1H3J	3540	5627	2947	2561	3967	1073
ANKZF1_+_220094599.23-P1P2_h5_Top5	ANKZF1	2389	2995	1638	1603	2059	489
ZNF461_+_37157507.23-P1P2_h5_Top5	ZNF461	887	1177	914	701	848	220
MCMDC2_-_67783058.23-P1P2_h5_Top5	MCMDC2	2945	3735	2110	1878	2647	645
SNRPN_+_25200159.23-P1P2_h5_Top5	SNRPN	1238	1922	583	843	1147	235
TRUB1_-_116698001.23-P1P2_h5_Top5	TRUB1	1026	1147	811	578	869	285
RELL2_+_141016990.23-P1P2_h5_Top5	RELL2	1982	2752	1587	1292	1653	462
MECP2_-_153363160.23-P1P2_h5_Top5	MECP2	1054	1093	818	959	911	212
DMBX1_-_46972848.23-P1P2_h5_Top5	DMBX1	1830	2440	1915	1401	1469	405
MBNL3_-_131573619.23-ENST00000370839.3,ENST00000370853.3_h5_Top5	MBNL3	1896	2205	1133	1208	1384	369
NAT14_-_55996612.23-P1P2_h5_Top5	NAT14	940	1550	935	572	1221	216
SUPT7L_+_27886246.23-P1P2_h5_Top5	SUPT7L	1480	2683	1310	960	1485	337
NKX2-3_-_101292743.23-P1P2_h5_Top5	NKX2-3	2562	4637	2232	2203	3078	712
HES3_-_6304701.23-P1P2_h5_Top5	HES3	996	1290	743	611	702	260
ZSCAN26_+_28234822.23-P1P2_h5_Top5	ZSCAN26	2342	3326	1604	1617	1776	494
NAA16_-_41885455.23-P1P2_h5_Top5	NAA16	2599	2861	1715	1709	2599	494
TLX2_-_74742030.23-P1P2_h5_Top5	TLX2	2111	3082	1522	1513	2028	488
ZNF99_-_22966550.23-P1P2_h5_Top5	ZNF99	1657	2058	1186	1009	1366	333
MEAF6_-_37980311.23-P1P2_h5_Top5	MEAF6	1198	1143	690	1241	1697	432
PCDH1_+_141257775.23-P1P2_h5_Top5	PCDH1	1761	2420	1241	1253	1545	424
TOX3_+_52580558.23-P1P2_h5_Top5	TOX3	2988	3607	2012	1745	2603	696
ARID5A_-_97202903.23-P1P2_h5_Top5	ARID5A	2218	3177	1736	1474	2309	553
KHDRBS3_-_136470142.23-P1P2_h5_Top5	KHDRBS3	2243	3571	1834	1615	2001	530
FOXN2_+_48541857.23-P1P2_h5_Top5	FOXN2	4415	6427	3864	3247	4099	1038
SNRPF_-_96252803.23-P1P2_h5_Top5	SNRPF	112	166	105	75	38	39
ZNF551_-_58193585.23-P1P2_h5_Top5	ZNF551	1127	1136	801	712	869	282
SETMAR_-_4345096.23-P1P2_h5_Top5	SETMAR	1881	2854	1566	1136	1466	447
HELT_-_185940013.23-P1P2_h5_Top5	HELT	1531	2733	1316	1149	2123	506
HMX2_-_124908069.23-P1P2_h5_Top5	HMX2	1930	2863	1632	1494	2223	464
CNOT6_-_179921630.23-P1P2_h5_Top5	CNOT6	1917	2338	1211	1390	1707	424
SRSF12_+_89827363.23-P1P2_h5_Top5	SRSF12	2737	3153	1901	1505	1988	522
AHDC1_+_27930586.23-P1P2_h5_Top5	AHDC1	1771	1967	1350	1202	1518	458
ZC3H11A_+_203765177.23-P1P2_h5_Top5	ZC3H11A	117	379	157	128	209	76
VGLL3_+_87039823.23-P1P2_h5_Top5	VGLL3	1771	2102	1285	924	1353	313
ZSCAN2_+_85144488.23-P1P2_h5_Top5	ZSCAN2	202	295	84	166	236	53
NCBP1_+_100395996.23-P1P2_h5_Top5	NCBP1	747	911	519	409	643	137
ZBTB21_+_43430429.23-P1P2_h5_Top5	ZBTB21	768	1507	716	577	910	255
ZKSCAN3_-_28318221.23-P1P2_h5_Top5	ZKSCAN3	1999	2475	1418	1202	1582	399
LARP4B_+_931483.23-ENST00000316157.3_h5_Top5	LARP4B	229	452	225	185	234	62
HOXD8_+_176994450.23-P1P2_h5_Top5	HOXD8	1045	1370	832	733	1184	286
SOX30_-_157078974.23-P1_h5_Top5	SOX30	1586	1925	1013	1165	1193	310
ZBTB43_-_129567339.23-P1P2_h5_Top5	ZBTB43	1221	1617	955	711	1024	312
ZNF44_+_12405578.23-P1P2_h5_Top5	ZNF44	2664	3496	2136	1627	2419	615
TIGD3_+_65122344.23-P1P2_h5_Top5	TIGD3	1826	2724	1417	1130	1780	474
HIST1H4C_-_26104214.23-P1P2_h5_Top5	HIST1H4C	1011	1034	501	453	564	148
FMR1_+_146993486.23-P1P2_h5_Top5	FMR1	5033	8107	3865	3932	5024	1128
EMG1_-_7080129.23-P1P2_h5_Top5	EMG1	296	737	313	356	509	103
ZNF573_+_38269813.23-P1P2_h5_Top5	ZNF573	974	1340	659	625	764	248
TNIP1_-_150460501.23-P1_h5_Supp5	TNIP1	0	0	0	1	0	0
ZNF319_-_58032026.23-P1_h5_Top5	ZNF319	850	1379	817	743	852	254
ZNF319_+_58033236.23-P2_h5_Top5	ZNF319	2051	2912	1419	1438	1913	463
ZNF358_-_7584842.23-P2_h5_Top5	ZNF358	1535	2168	1446	1045	1587	390
HSF5_+_56565697.23-P1P2_h5_Top5	HSF5	3093	4739	2477	2450	2876	888
ZNF566_-_36980424.23-P1P2_h5_Top5	ZNF566	4209	5929	2992	3247	4405	869
RBM20_-_112404114.23-P1P2_h5_Top5	RBM20	1793	2743	1504	1411	2024	448
YAF2_-_42631840.23-P1P2_h5_Top5	YAF2	2981	3451	2164	1828	2607	669
NFKBIZ_+_101568401.23-P1_h5_Top5	NFKBIZ	2083	3070	1766	1524	2182	447
EEF1D_-_144679214.23-P1P2_h5_Top5	EEF1D	1136	1852	1010	798	1181	305
TFDP3_+_132351929.23-P1P2_h5_Top5	TFDP3	535	623	574	409	547	132
CEBPD_-_48650636.23-P1P2_h5_Top5	CEBPD	1564	2872	1231	1290	1781	457
ZBTB49_-_4292027.23-P1P2_h5_Top5	ZBTB49	930	1827	790	711	1149	248
FBL_-_40336975.23-P1P2_h5_Top5	FBL	129	288	103	61	219	83
ZC3H4_-_47615124.23-P1_h5_Top5	ZC3H4	1172	1706	753	790	1179	261
SOWAHB_-_77819234.23-P1P2_h5_Top5	SOWAHB	3004	4095	2494	1966	2862	720
KCNH8_-_19190031.23-P1P2_h5_Top5	KCNH8	2194	3770	1634	1370	2317	448
RQCD1_-_219433577.23-P1P2_h5_Top5	RQCD1	1997	2726	1359	1291	1645	400
RBM12B_-_94753181.23-P1P2_h5_Top5	RBM12B	2529	3477	2189	1267	2181	631
SOX14_-_137483534.23-P1P2_h5_Top5	SOX14	2247	3029	1498	1551	2316	443
EVX2_+_176948146.23-P1P2_h5_Top5	EVX2	1790	2466	1529	1174	1595	395
INSM2_+_36003421.23-P1P2_h5_Top5	INSM2	392	403	239	222	322	84
PTCHD2_+_11539263.23-P1P2_h5_Top5	PTCHD2	2551	2971	1419	1577	2082	503
ZNF703_-_37553300.23-P1P2_h5_Top5	ZNF703	947	1636	1101	509	825	185
NANOGNB_-_7918263.23-ENST00000382119.1_h5_Top5	NANOGNB	747	1228	631	512	766	252
PHF21B_+_45404389.23-P2_h5_Top5	PHF21B	2182	2744	1915	1570	1863	608
ZNF749_+_57946731.23-P1P2_h5_Top5	ZNF749	1014	1491	876	668	947	248
KRR1_+_75905358.23-P1P2_h5_Top5	KRR1	1011	1468	730	594	1011	222
SRSF6_-_42090475.23-P2_h5_Top5	SRSF6	1313	1727	1225	958	1518	394
DRAP1_+_65687310.23-P1P2_h5_Top5	DRAP1	1933	3079	1776	1356	1745	435
ZNF124_-_247321204.23-P1P2_h5_Top5	ZNF124	1317	2382	1032	946	1281	286
ZNF232_+_5025944.23-P2_h5_Top5	ZNF232	2528	3971	2056	1823	2326	572
NOBOX_+_144100748.23-ENST00000223140.5_h5_Top5	NOBOX	3991	5623	3180	2518	3339	855
ACD_+_67694124.23-P1P2_h5_Top5	ACD	855	1231	775	782	1037	284
PRPF38A_-_52870263.23-P1P2_h5_Top5	PRPF38A	186	164	135	81	115	51
PRDM9_-_23507740.23-P1P2_h5_Top5	PRDM9	559	607	392	349	518	128
ARID1B_-_157099118.23-P1_h5_Top5	ARID1B	2326	3672	1824	1621	2333	563
CXCL6_+_74702822.23-P1P2_h5_Top5	CXCL6	1708	2288	1281	1356	1558	426
ZNF786_+_148787796.23-P1P2_h5_Top5	ZNF786	1916	2979	1672	1509	2199	497
GEMIN2_-_39583560.23-P1P2_h5_Top5	GEMIN2	80	63	101	37	43	24
HOXA3_-_27153372.23-P2_h5_Top5	HOXA3	2236	3481	1799	1504	2076	566
RECQL_+_21654469.23-P1P2_h5_Top5	RECQL	236	485	285	418	460	133
RBPJL_+_43935913.23-P1P2_h5_Top5	RBPJL	589	991	301	399	541	100
HCFC2_+_104458355.23-P1P2_h5_Top5	HCFC2	1858	3093	1533	1497	1781	500
CENPK_+_64858912.23-P1P2_h5_Top5	CENPK	88	44	9	27	7	0
PHOX2A_+_71955181.23-P1P2_h5_Top5	PHOX2A	3003	4222	2089	1986	2586	634
RBM4B_+_66445025.23-P1P2_h5_Top5	RBM4B	1011	1146	573	736	966	210
HDX_-_83757383.23-P1P2_h5_Top5	HDX	1757	2886	1382	935	1866	390
ZMYM4_-_35734695.23-P1P2_h5_Top5	ZMYM4	145	279	139	158	183	45
DDX60_+_169239508.23-P1P2_h5_Top5	DDX60	2018	2961	1401	1689	1898	492
CIZ1_+_130953412.23-P1P2_h5_Top5	CIZ1	1298	2588	1192	1054	1114	326
ZNF567_-_37178558.23-P1P2_h5_Top5	ZNF567	2447	3492	1696	1354	2038	453
SOX8_-_1032154.23-P1P2_h5_Top5	SOX8	2286	2711	1871	1589	1850	582
TBX1_-_19748809.23-P1P2_h5_Top5	TBX1	2777	4778	2684	2143	2855	636
HIC2_-_21771793.23-P1_h5_Top5	HIC2	2010	3374	1976	1055	1502	456
DCTN1_+_74618971.23-P1P2_h5_Top5	DCTN1	1650	1798	1122	920	1300	331
HIST1H3I_-_27839706.23-ENST00000328488.2_h5_Top5	HIST1H3I	1197	1917	905	610	1107	256
ZNF324_-_58978929.23-P1P2_h5_Top5	ZNF324	4249	5221	3095	2883	3867	903
TBX6_-_30102813.23-P1P2_h5_Top5	TBX6	758	1756	789	579	997	166
HAND2_-_174451339.23-P1_h5_Top5	HAND2	2303	4128	1922	1591	2849	607
EVI2B_-_29641071.23-P1P2_h5_Top5	EVI2B	203	552	186	186	274	61
ZNF687_+_151254017.23-P1P2_h5_Top5	ZNF687	1785	2960	1530	1296	1810	444
HOXB8_-_46692204.23-P2_h5_Top5	HOXB8	1382	1348	734	797	1081	240
ZNF639_+_179041037.23-P1P2_h5_Top5	ZNF639	2528	3493	1952	1985	2876	748
ZNF710_-_90544846.23-P1P2_h5_Supp5	ZNF710	0	1	0	0	0	0
CGGBP1_-_88199023.23-P2_h5_Top5	CGGBP1	1412	2332	1211	785	1448	386
HDGFRP2_-_4488844.23-P2_h5_Top5	HDGFRP2	1237	1467	771	856	1228	221
RNPC3_+_104068769.23-P1P2_h5_Top5	RNPC3	2	26	1	15	0	3
SNRPG_-_70520693.23-P1P2_h5_Top5	SNRPG	52	76	25	16	46	34
FAM153A_+_177207261.23-ENST00000440605.3,ENST00000513554.1_h5_Top5	FAM153A	830	1215	598	637	850	192
PQBP1_+_48755445.23-P1P2_h5_Top5	PQBP1	1519	1741	1055	758	1198	268
CELF5_+_3224745.23-P1P2_h5_Top5	CELF5	2540	3331	2052	1565	2355	459
SPNS3_-_4337265.23-P1P2_h5_Top5	SPNS3	3043	4416	2542	1964	3347	743
ZNF177_+_9434983.23-P1_h5_Top5	ZNF177	689	864	485	353	460	178
ZFP92_+_152683958.23-ENST00000338647.5_h5_Top5	ZFP92	1665	1745	1553	1282	1379	472
ZNF578_+_52957046.23-P1P2_h5_Top5	ZNF578	1922	2786	1853	1460	2138	528
TWISTNB_+_19748635.23-P1P2_h5_Top5	TWISTNB	5	36	3	2	1	19
ZNF624_-_16557080.23-P1P2_h5_Top5	ZNF624	1578	2476	1411	1251	1666	388
HIST1H4G_+_26246982.23-ENST00000244537.4_h5_Top5	HIST1H4G	1065	1953	1077	954	1608	288
ZNF529_+_37064121.23-P1P2_h5_Top5	ZNF529	2633	3530	1810	1728	2272	559
TBX2_-_59477298.23-P1P2_h5_Top5	TBX2	2574	3730	2294	1615	2452	577
ZNF695_-_247170920.23-ENST00000339986.7_h5_Top5	ZNF695	834	1122	730	440	738	248
SF3B14_-_24298829.23-P1P2_h5_Top5	SF3B14	96	214	130	30	89	35
ZNF610_+_52839600.23-P1P2_h5_Top5	ZNF610	859	1076	610	507	839	197
HOXC8_+_54402867.23-P1P2_h5_Top5	HOXC8	4336	6883	3428	3043	4119	904
IGF2BP2_+_185542287.23-P1P2_h5_Top5	IGF2BP2	1278	2021	1119	685	994	300
PHOX2A_-_71955151.23-P1P2_h5_Top5	PHOX2A	2170	2053	1522	1108	1690	471
HDX_+_83757047.23-P1P2_h5_Top5	HDX	1093	1559	861	613	1016	279
KLF12_+_74708170.23-P1P2_h5_Top5	KLF12	1567	1555	1146	1042	1530	312
HNRNPM_-_8509939.23-P1_h5_Top5	HNRNPM	1224	1923	996	1540	1764	533
ZNF200_+_3285104.23-P1P2_h5_Top5	ZNF200	4136	5071	2956	2618	3741	915
non-targeting_01106_h5_Top5	non-targeting	2244	2878	1707	1604	2036	525
MYF5_-_81110742.23-P1P2_h5_Top5	MYF5	1590	1884	1107	917	1592	393
SMARCD3_-_150973779.23-P1_h5_Top5	SMARCD3	1388	1988	1350	1048	1409	365
NOBOX_+_144107316.23-ENST00000483238.1_h5_Top5	NOBOX	604	1051	552	330	621	128
ZNF19_+_71518426.23-P1P2_h5_Top5	ZNF19	672	909	690	488	845	204
HINFP_-_118992315.23-P1P2_h5_Top5	HINFP	29	31	26	64	13	14
TOP3B_+_22337183.23-P1P2_h5_Top5	TOP3B	872	1786	987	616	1419	309
CUX2_-_111472034.23-P1P2_h5_Top5	CUX2	475	560	314	425	501	134
DMBX1_+_46972677.23-P1P2_h5_Top5	DMBX1	3070	3383	1819	1879	2603	613
ZNF676_-_22379720.23-ENST00000397121.2_h5_Top5	ZNF676	864	1233	601	737	1010	221
DMRT3_-_976730.23-P1P2_h5_Top5	DMRT3	4380	6658	3431	3129	4047	973
SWAP70_+_9686001.23-P1P2_h5_Top5	SWAP70	1897	2556	1447	1356	1856	421
BATF2_-_64764396.23-P1P2_h5_Top5	BATF2	2287	3415	1976	1451	2391	548
KDM4A_+_44115899.23-P1P2_h5_Top5	KDM4A	2273	3627	1791	2825	3955	866
TFAP2D_-_50681622.23-P1P2_h5_Top5	TFAP2D	1293	2186	1183	866	1416	296
ZBTB20_-_114865667.23-P2_h5_Top5	ZBTB20	82	207	58	66	97	16
SERTAD1_-_40931654.23-P1P2_h5_Top5	SERTAD1	3340	4377	2771	1932	2865	731
KCNH5_-_63511723.23-P1P2_h5_Top5	KCNH5	1005	1772	684	916	1157	228
ELF2_-_140098340.23-P1P2_h5_Top5	ELF2	2746	4570	2187	1987	2706	726
CIR1_-_175260004.23-P1P2_h5_Top5	CIR1	346	714	367	367	516	98
ZNF117_-_64466761.23-P1P2_h5_Top5	ZNF117	4719	6491	3931	3253	4793	1232
ZNF467_-_149470678.23-P1P2_h5_Top5	ZNF467	2628	3772	2084	1734	2707	496
ZNF189_+_104161572.23-P1P2_h5_Top5	ZNF189	4068	5505	2831	2681	4109	869
THAP1_-_42698006.23-P1P2_h5_Top5	THAP1	689	1012	564	799	860	220
ZSCAN30_-_32870182.23-P1P2_h5_Top5	ZSCAN30	2077	2893	1670	1400	1844	472
SCXB_+_145321955.23-ENST00000340210.1_h5_Top5	SCXB	2836	4316	2478	1964	3264	711
RWDD4_+_184580347.23-P1P2_h5_Supp5	RWDD4	0	0	0	12	0	0
ZNF177_+_9473765.23-P2_h5_Top5	ZNF177	2867	4293	1999	2164	2863	651
NFKBIL1_+_31515392.23-P1P2_h5_Top5	NFKBIL1	531	757	517	519	453	185
ANKRD55_-_55529169.23-ENST00000341048.4_h5_Top5	ANKRD55	454	723	380	199	465	113
AARSD1_-_41132037.23-P2_h5_Top5	AARSD1	1615	2168	1377	990	1312	342
non-targeting_01279_h5_Top5	non-targeting	1653	3117	1500	1366	2141	440
TFAP2B_+_50786696.23-P1P2_h5_Top5	TFAP2B	449	473	293	353	424	73
NCBP1_+_100396123.23-P1P2_h5_Top5	NCBP1	245	574	356	192	289	69
ZNF787_-_56632608.23-P1P2_h5_Top5	ZNF787	2568	4070	1962	2581	3368	696
TAF4B_-_23806425.23-P1P2_h5_Top5	TAF4B	665	1006	647	621	616	169
ZNF765_-_53868974.23-P2_h5_Top5	ZNF765	1521	2736	1398	1222	1745	469
PGBD1_+_28249385.23-P1P2_h5_Top5	PGBD1	2111	3243	1799	1461	2661	551
