Guide	Gene	ctrl_1	ctrl_2	ctrl_3	test_1	test_2	test_3
TNP1_-_217724399.23-P1P2_h5_Top5	TNP1	2519	3597	2230	1489	2040	659
GPBP1_-_56469901.23-P1P2_h5_Top5	GPBP1	1663	1972	1310	796	1078	309
NSUN5_+_72722416.23-P1P2_h5_Top5	NSUN5	1066	1550	1025	819	1260	323
KLF8_+_56258865.23-P1P2_h5_Top5	KLF8	1723	1900	1325	1442	1258	415
ZNF99_-_22966730.23-P1P2_h5_Top5	ZNF99	659	1754	719	438	1005	239
ZNF75D_-_134477529.23-P1P2_h5_Top5	ZNF75D	1856	3015	1561	1369	1848	411
PTPRCAP_-_67204741.23-P1P2_h5_Top5	PTPRCAP	842	918	554	680	677	154
HIST1H1A_+_26017527.23-P1P2_h5_Top5	HIST1H1A	325	280	168	206	296	52
ZNF705D_-_11961942.23-ENST00000400085.3_h5_Top5	ZNF705D	260	504	204	158	144	40
TOX3_-_52580594.23-P1P2_h5_Top5	TOX3	3732	4944	3068	2550	3457	881
ZNF18_+_11900519.23-P1P2_h5_Top5	ZNF18	1278	2090	914	955	1431	293
ZNF687_+_151255192.23-P1P2_h5_Top5	ZNF687	2840	4329	2378	1952	2429	727
SRSF4_-_29508036.23-P1P2_h5_Top5	SRSF4	3578	4906	3229	2768	3229	832
PUM1_+_31538495.23-P1P2_h5_Top5	PUM1	579	488	368	183	339	75
PAX4_+_127255314.23-ENST00000341640.2_h5_Top5	PAX4	1435	1833	786	719	1388	274
SKOR2_-_44775229.23-ENST00000400404.1,ENST00000425639.1_h5_Top5	SKOR2	3740	5093	2937	2521	3362	814
IRX2_-_2751285.23-P1P2_h5_Top5	IRX2	2370	3380	1806	1679	2405	597
ZNF773_-_58011328.23-P1P2_h5_Top5	ZNF773	1915	2660	1578	1377	1962	512
ZKSCAN3_+_28317804.23-P1P2_h5_Top5	ZKSCAN3	993	1674	717	712	951	223
ZBED1_-_2418913.23-P1P2_h5_Top5	ZBED1	3481	5303	3197	1867	2963	749
ZBTB44_+_130184398.23-P1P2_h5_Top5	ZBTB44	1320	1907	913	815	1340	311
non-targeting_01208_h5_Top5	non-targeting	1651	2915	1620	989	1698	430
RAPGEF3_-_48152591.23-P1P2_h5_Top5	RAPGEF3	4666	5910	3803	2755	3974	1093
TCF4_-_53255069.23-P1P2_h5_Top5	TCF4	983	1983	886	615	1275	264
ZNF143_+_9482950.23-P1P2_h5_Top5	ZNF143	1277	1478	716	1078	1325	307
MBD3L1_-_8943285.23-ENST00000595891.1_h5_Top5	MBD3L1	636	995	421	390	618	177
DMRTB1_+_53926022.23-P1P2_h5_Top5	DMRTB1	522	894	492	459	581	134
ZFP41_+_144329116.23-P1P2_h5_Top5	ZFP41	3758	5715	3348	1723	2258	487
DPPA5_+_74063970.23-P1P2_h5_Top5	DPPA5	1661	2397	1235	1187	1525	424
CELF3_-_151688818.23-P1P2_h5_Top5	CELF3	1376	2040	1321	882	1404	304
ZNF548_-_57901362.23-P1P2_h5_Supp5	ZNF548	0	0	0	1	0	0
RAPGEF6_+_130970887.23-P1P2_h5_Top5	RAPGEF6	3342	4320	2628	2036	3093	708
FBL_+_40336626.23-P1P2_h5_Top5	FBL	40	52	11	0	43	50
TAF3_-_7860497.23-P1P2_h5_Top5	TAF3	961	1840	968	625	1229	253
THUMPD1_+_20753113.23-P1P2_h5_Top5	THUMPD1	1965	2796	1512	1240	1901	551
TEAD3_+_35464443.23-P1P2_h5_Top5	TEAD3	855	1328	697	564	899	198
ZNF610_+_52840000.23-P1P2_h5_Top5	ZNF610	1768	1295	1175	1212	1106	331
H2AFY2_+_71812610.23-P1P2_h5_Top5	H2AFY2	1569	2076	1151	1107	1835	260
TULP1_-_35480631.23-P1P2_h5_Top5	TULP1	1018	1673	695	725	1061	226
SATB2_-_200323029.23-P1P2_h5_Top5	SATB2	825	1343	526	574	827	170
ZNF729_+_22469467.23-P1P2_h5_Top5	ZNF729	1630	2040	1290	1083	1611	384
TRANK1_-_36986183.23-ENST00000429976.2_h5_Top5	TRANK1	1619	1999	1099	990	1294	382
